name,department,rating,num_ratings,would_take_again_pct,level_of_difficulty,professor_url
Yang Liu,Computer & Informational Tech.,1,2,0%,5,https://www.ratemyprofessors.com/professor/2758405
John Wilder,Computer Science,5,2,100%,2,https://www.ratemyprofessors.com/professor/2726286
Jay Schmidt,Communication Studies,3,2,50%,3.5,https://www.ratemyprofessors.com/professor/2741122
Dezhou Li,Mathematics,3,1,100%,3,https://www.ratemyprofessors.com/professor/2758614
Lee Makowski,Biomedical,5,1,100%,2,https://www.ratemyprofessors.com/professor/2757950
David Rochefort,Political Science,4.1,17,100%,3,https://www.ratemyprofessors.com/professor/153119
Monica Borgida,Business Administration,3.6,11,55%,2.3,https://www.ratemyprofessors.com/professor/2324772
Tracy Wallach,Management,5,1,100%,3,https://www.ratemyprofessors.com/professor/2757542
Nancy Sharby,Health Science,1,1,0%,3,https://www.ratemyprofessors.com/professor/2757491
Ruixiang Ray Wang,Business,5,1,100%,2,https://www.ratemyprofessors.com/professor/2745930
Bruce Chhay,Computer Science,3.5,4,75%,1.3,https://www.ratemyprofessors.com/professor/2469633
Richard Anderson,Marketing,1,2,0%,4.5,https://www.ratemyprofessors.com/professor/2582058
Beau Kenyon,Music,3,1,100%,2,https://www.ratemyprofessors.com/professor/2729934
Carey Noland,Communication,3.8,20,50%,3,https://www.ratemyprofessors.com/professor/570757
Angela Kilby,Economics,4.7,7,86%,4,https://www.ratemyprofessors.com/professor/2310829
Brian Hepler,Mathematics,4,1,100%,3,https://www.ratemyprofessors.com/professor/2367145
Mark Niedre,Electrical Engineering,3.4,4,100%,3,https://www.ratemyprofessors.com/professor/1774319
Deirdre Loughridge,Music,3,3,33%,4.7,https://www.ratemyprofessors.com/professor/2295701
Ralf Schlosser,Speech & Hearing Sciences,5,1,100%,2,https://www.ratemyprofessors.com/professor/2738319
David McWane,Music,4.5,2,100%,2,https://www.ratemyprofessors.com/professor/2732700
Ivan Petkov,Economics,4,2,50%,3,https://www.ratemyprofessors.com/professor/2303118
Hsiang Chang,Mathematics,5,1,100%,3,https://www.ratemyprofessors.com/professor/2705533
Vsevolod Zadorozhnyy,Mathematics,1,2,0%,5,https://www.ratemyprofessors.com/professor/2747263
Aleks Dawson,Graphic Design,3.3,6,50%,2.5,https://www.ratemyprofessors.com/professor/2641883
Peter Thibeault,Visual Arts,2.7,7,29%,4,https://www.ratemyprofessors.com/professor/2240290
Howard Troughton,Mathematics,2.4,14,0%,3.3,https://www.ratemyprofessors.com/professor/1360926
Jordan Hayes,English,4,1,100%,3,https://www.ratemyprofessors.com/professor/2740451
Murray Forman,Communication,3.1,44,33%,3.6,https://www.ratemyprofessors.com/professor/192940
Jordan Kemper,Human Services,4,1,100%,3,https://www.ratemyprofessors.com/professor/2744619
Jack McDevitt,Criminal Justice,5,1,100%,3,https://www.ratemyprofessors.com/professor/2528571
Huiming Lin,Biotechnology,5,1,100%,3,https://www.ratemyprofessors.com/professor/2742218
Bilge Erten,Economics,3.8,11,71%,2.5,https://www.ratemyprofessors.com/professor/2126354
Bill Davidge,Marketing,5,1,100%,3,https://www.ratemyprofessors.com/professor/2741080
Janice Barrett,Philosophy,5,1,100%,3,https://www.ratemyprofessors.com/professor/2741098
Ryan Clauson,Biotechnology,3,1,0%,3,https://www.ratemyprofessors.com/professor/2561141
Arsalan Haq,English,5,1,100%,2,https://www.ratemyprofessors.com/professor/2739538
Nathan Israeloff,Physics,2.2,15,0%,3.3,https://www.ratemyprofessors.com/professor/593459
Joseph Raynus,Information Science,1.8,8,14%,3.1,https://www.ratemyprofessors.com/professor/1717201
Ila Tua'One,English,4.7,5,100%,2.8,https://www.ratemyprofessors.com/professor/1403033
Renée Miller,Computer Science,1.3,4,0%,4.3,https://www.ratemyprofessors.com/professor/2511778
Steven Braun,Information Science,5,3,100%,2.7,https://www.ratemyprofessors.com/professor/2582442
Matej Penciak,Mathematics,5,3,100%,2.7,https://www.ratemyprofessors.com/professor/2689767
Karina Money,Psychology,4.1,53,77%,2,https://www.ratemyprofessors.com/professor/2387688
Janet Fine,Criminal Justice,5,1,100%,3,https://www.ratemyprofessors.com/professor/2128095
Kathleen Gonso,Writing,5,2,100%,3,https://www.ratemyprofessors.com/professor/2246085
Russell Pensyl,Graphic Design,2.1,8,33%,1.8,https://www.ratemyprofessors.com/professor/1883504
Ian McManus,Political Science,4,2,100%,2.5,https://www.ratemyprofessors.com/professor/2000222
Rashid Mosley,Education,5,1,100%,2,https://www.ratemyprofessors.com/professor/2412642
Neil Clauson,Computer & Informational Tech.,5,2,100%,3.5,https://www.ratemyprofessors.com/professor/2651869
Jason Black,Information Science,5,2,100%,3.5,https://www.ratemyprofessors.com/professor/1933710
John Driscoll,Management,5,1,100%,4,https://www.ratemyprofessors.com/professor/2718813
Jamie Warner,Mathematics,4,5,80%,3,https://www.ratemyprofessors.com/professor/2441938
Janet Randall,Languages,2.1,30,0%,3.7,https://www.ratemyprofessors.com/professor/577393
Brian Hogan,Accounting,4.5,7,100%,2.6,https://www.ratemyprofessors.com/professor/1262361
Katherine Lind,Communication Studies,4.3,6,83%,2.3,https://www.ratemyprofessors.com/professor/2422101
Eugene Smotkin,Chemistry,2.7,15,0%,3.1,https://www.ratemyprofessors.com/professor/1177517
Christy Leyland,Nursing,5,1,100%,4,https://www.ratemyprofessors.com/professor/2668676
Edward Murphy,Public Policy,3.9,4,100%,3.3,https://www.ratemyprofessors.com/professor/1703019
Shantanu Jain,Computer Science,1,1,0%,5,https://www.ratemyprofessors.com/professor/2722503
Carl Nelson,Business,2.5,33,23%,2.5,https://www.ratemyprofessors.com/professor/620532
Geofrey Mills,Finance,4,1,100%,4,https://www.ratemyprofessors.com/professor/2718812
Deborah Colameta,Communication Studies,5,1,100%,5,https://www.ratemyprofessors.com/professor/2718990
Kristen Gonzalez,Nursing,3.7,3,67%,4.3,https://www.ratemyprofessors.com/professor/2364802
Boris Tsvelikhovskiy,Mathematics,3,2,50%,3,https://www.ratemyprofessors.com/professor/2202593
Aaron Peterka,History,5,1,100%,2,https://www.ratemyprofessors.com/professor/2718339
Chris King,Business Administration,2.7,10,50%,4.2,https://www.ratemyprofessors.com/professor/2092480
Hamidreza Jahanjou,Computer Science,3.7,3,67%,3.3,https://www.ratemyprofessors.com/professor/2678077
Susan Alessandri,Accounting,1,2,0%,3,https://www.ratemyprofessors.com/professor/2709291
Jean-Francois Cecile,Administration,1,1,0%,4,https://www.ratemyprofessors.com/professor/2713804
Nian-Xiang Sun,Electrical Engineering,2.4,13,14%,3.9,https://www.ratemyprofessors.com/professor/924539
Kevin Mills,Philosophy,4.3,4,75%,3,https://www.ratemyprofessors.com/professor/2584825
Catherine Turner,Health Science,1.7,3,33%,4.3,https://www.ratemyprofessors.com/professor/2428714
Jim Lipsky,Sign Language,4.1,23,75%,2.9,https://www.ratemyprofessors.com/professor/295008
Ryan Keenan,Nursing,5,2,100%,2.5,https://www.ratemyprofessors.com/professor/2229524
Stacy-Ann Christian,Regulatory Affairs,3.3,3,33%,4,https://www.ratemyprofessors.com/professor/2269949
Kevin Baldwin,Music,5,1,100%,2,https://www.ratemyprofessors.com/professor/2694859
Carlos Domínguez,Economics,4.5,7,83%,3.3,https://www.ratemyprofessors.com/professor/2040159
Yang Zhang,Civil Engineering,1,3,0%,5,https://www.ratemyprofessors.com/professor/2681730
Erienne Weine,Psychology,4.8,29,93%,1.8,https://www.ratemyprofessors.com/professor/2157827
Holbrook Robinson,Languages,4,28,100%,2.1,https://www.ratemyprofessors.com/professor/365417
David Wesley,Business Administration,2.8,4,0%,4,https://www.ratemyprofessors.com/professor/1827014
Barbara Corbett,Latin American Studies,3,9,50%,2.9,https://www.ratemyprofessors.com/professor/1623553
Yiwei Wang,Health Science,5,1,100%,2,https://www.ratemyprofessors.com/professor/2702025
Keisha Chambers,Accounting,4,1,100%,4,https://www.ratemyprofessors.com/professor/2675213
Steven Corvi,History,4.2,6,100%,2.8,https://www.ratemyprofessors.com/professor/736331
Laurel Gabard-Durnam,Psychology,5,1,100%,2,https://www.ratemyprofessors.com/professor/2686861
Andrew Myers,Civil Engineering,3.9,8,67%,4.3,https://www.ratemyprofessors.com/professor/1839799
Sergiy Shevchenko,Computer Science,2.7,3,33%,3.7,https://www.ratemyprofessors.com/professor/2363746
Bradley Simon,Management,3.5,2,100%,3,https://www.ratemyprofessors.com/professor/1454046
Ben Machlin,English,5,3,100%,3,https://www.ratemyprofessors.com/professor/2577227
Carlos Casso Dominguez,Economics,4,1,0%,4,https://www.ratemyprofessors.com/professor/2694692
Sabine Amend,Communication Studies,2,1,0%,4,https://www.ratemyprofessors.com/professor/2695165
Thomas Wahl,Computer Science,3.5,11,86%,3.7,https://www.ratemyprofessors.com/professor/1691533
Sinan Muftu,Mechanical Engineering,3.8,6,75%,3.5,https://www.ratemyprofessors.com/professor/911858
Riley Tucker,Criminal Justice,2,5,0%,3,https://www.ratemyprofessors.com/professor/2530675
Steve Zoloth,Sociology,4,2,100%,3.5,https://www.ratemyprofessors.com/professor/2330268
Nicole Davis,Counseling amp Educational Psych,5,1,100%,3,https://www.ratemyprofessors.com/professor/2694637
Lisa Lewis,Psychology,4.7,10,90%,2.3,https://www.ratemyprofessors.com/professor/2382063
Bruce Ellen III,Business Administration,3.9,10,67%,3,https://www.ratemyprofessors.com/professor/2125438
Daniel Burt,English,1.5,4,0%,4,https://www.ratemyprofessors.com/professor/2251996
Nancy Snyder,Psychology,3.8,71,42%,2.7,https://www.ratemyprofessors.com/professor/335964
Dinh Minh,Accounting,3,4,50%,3.8,https://www.ratemyprofessors.com/professor/2427708
Sharon Thomas,Marketing,2.5,2,50%,3,https://www.ratemyprofessors.com/professor/2589051
Zoltan Glück,Anthropology,4,2,50%,2.5,https://www.ratemyprofessors.com/professor/2686456
Federico Galetto,Mathematics,3.8,4,100%,2.5,https://www.ratemyprofessors.com/professor/1517573
Teiichi Ando,Mechanical Engineering,5,1,100%,5,https://www.ratemyprofessors.com/professor/2155195
Alison Stephens,Writing,5,3,100%,3,https://www.ratemyprofessors.com/professor/2533530
Gary Goshgarian,English,4,28,100%,2.5,https://www.ratemyprofessors.com/professor/134908
Bruce Greenfield,Business,3.7,7,57%,2.4,https://www.ratemyprofessors.com/professor/2482709
Esther Chewning,Business Administration,3.7,7,67%,3.6,https://www.ratemyprofessors.com/professor/2077413
Elizabeth Merrill,Architecture,3,2,50%,3.5,https://www.ratemyprofessors.com/professor/2688047
Elisa Velez,Linguistics,1,1,0%,4,https://www.ratemyprofessors.com/professor/2674988
Richard Wargo,Organizational Leadership,4.7,3,100%,3.7,https://www.ratemyprofessors.com/professor/2589046
Jennifer Love,Engineering,3.6,15,56%,2.1,https://www.ratemyprofessors.com/professor/1969352
Craig Robertson,Communication,4.6,11,100%,2.9,https://www.ratemyprofessors.com/professor/772391
Somy Kim,English,5,2,100%,2,https://www.ratemyprofessors.com/professor/2683424
Eric Jackson,African-American Studies,4.7,10,100%,1.7,https://www.ratemyprofessors.com/professor/1452066
Mike Weintraub,Computer Science,2.6,14,43%,3.2,https://www.ratemyprofessors.com/professor/2252781
Samuel Scarpino,Environmental Science,5,5,100%,2.8,https://www.ratemyprofessors.com/professor/2543903
Nathaniel Tuck,Computer Science,3.3,20,47%,3.8,https://www.ratemyprofessors.com/professor/2044282
Joanne Morreale,Communication,3.6,19,40%,3.5,https://www.ratemyprofessors.com/professor/121542
Fabrizio Lombardi,Computer Engineering,2.4,9,0%,3.8,https://www.ratemyprofessors.com/professor/1180706
Kathryn Templeton,English,2.4,10,33%,3.1,https://www.ratemyprofessors.com/professor/1088545
Terry Hofmann,Communication Studies,1,1,0%,3,https://www.ratemyprofessors.com/professor/2439392
Cecelia Musselman,English,4.1,21,100%,3.2,https://www.ratemyprofessors.com/professor/268975
Tracey Carter,Chemical Engineering,1,1,0%,4,https://www.ratemyprofessors.com/professor/2132171
Paul Tagliamonte,Business Administration,2.6,13,38%,3.1,https://www.ratemyprofessors.com/professor/2194027
Silvani Vejar,Mathematics,5,3,100%,4.3,https://www.ratemyprofessors.com/professor/2181598
Daniel Moolman,Accounting,2.4,16,42%,4.1,https://www.ratemyprofessors.com/professor/1992032
David Fionda,Accounting,4,2,50%,4,https://www.ratemyprofessors.com/professor/2607221
Neil Dziemian,Communication Studies,2,2,0%,4.5,https://www.ratemyprofessors.com/professor/2655454
Michael Cavallo,Business,4.4,5,80%,3.2,https://www.ratemyprofessors.com/professor/2411071
Sean Leavey,Media Studies,4,3,67%,2,https://www.ratemyprofessors.com/professor/2585110
Justin Crane,Biology,4.2,6,83%,3.3,https://www.ratemyprofessors.com/professor/2353584
Christopher Stover,Mathematics,3,1,0%,3,https://www.ratemyprofessors.com/professor/2667723
John Engen,Chemistry,4.6,7,67%,4.4,https://www.ratemyprofessors.com/professor/1065891
Farena Sultan,Marketing,2.4,14,0%,3.9,https://www.ratemyprofessors.com/professor/599135
Ernesto Aparicio,Fine Arts,2.7,3,33%,4,https://www.ratemyprofessors.com/professor/2425453
Benjamin Caras,Fine Arts,4.5,2,100%,3,https://www.ratemyprofessors.com/professor/1945346
Amal Ahmed,Computer Science,4,10,83%,3.5,https://www.ratemyprofessors.com/professor/1626525
Matthew Burchfield,Mathematics,4,1,100%,4,https://www.ratemyprofessors.com/professor/2665287
Bruce Taub,Business,4.3,2,100%,3.5,https://www.ratemyprofessors.com/professor/1887983
Matthew Jones,English,5,2,100%,3,https://www.ratemyprofessors.com/professor/2638650
William Tita,Business Administration,3.1,21,100%,2.6,https://www.ratemyprofessors.com/professor/306259
Shannon Weber,Women's Studies,3,6,50%,3,https://www.ratemyprofessors.com/professor/1791882
Sandra Clyne,English,2.3,19,33%,3.1,https://www.ratemyprofessors.com/professor/872593
Michael Woodnick,Communication,4.9,10,100%,2.3,https://www.ratemyprofessors.com/professor/595738
Arthur John,Physics,5,1,100%,3,https://www.ratemyprofessors.com/professor/2633785
Sarah Sellke,Computer Science,1,3,0%,4,https://www.ratemyprofessors.com/professor/2610228
John Frenz,Chemistry,1,1,0%,4,https://www.ratemyprofessors.com/professor/2659107
Armen Stepanyants,Physics,4,12,100%,3,https://www.ratemyprofessors.com/professor/820508
Donald Heiman,Physics,3.1,11,33%,3.2,https://www.ratemyprofessors.com/professor/783180
Lilly Havstad,English,2,1,0%,1,https://www.ratemyprofessors.com/professor/2648562
Maureen Kelleher,Sociology,3.3,15,60%,1.6,https://www.ratemyprofessors.com/professor/215784
Alanna Prince,African-American Studies,5,2,100%,2,https://www.ratemyprofessors.com/professor/2607096
Hayley Schiebel,Earth Science,3.8,114,17%,3.4,https://www.ratemyprofessors.com/professor/1860004
Bridgette Baldwin,Criminal Justice,3.3,48,100%,4.3,https://www.ratemyprofessors.com/professor/127117
Undine Leopold,Mathematics,2.3,23,30%,4.2,https://www.ratemyprofessors.com/professor/1613733
Jennifer Honeycutt,Psychology,3.9,7,71%,3.4,https://www.ratemyprofessors.com/professor/2180603
Jonathan Kahn,Law,5,1,100%,4,https://www.ratemyprofessors.com/professor/2655851
Jefferson Riordan,English,4.4,10,100%,2.9,https://www.ratemyprofessors.com/professor/904925
Dani Snyder-Young,Theater,4,1,100%,3,https://www.ratemyprofessors.com/professor/2642124
Susan Gallagher,Nursing,4.7,3,100%,3.3,https://www.ratemyprofessors.com/professor/2073207
Rein Kirss,Chemistry,3.5,27,75%,3.5,https://www.ratemyprofessors.com/professor/352754
Ran Cohen,Computer Science,4,1,100%,4,https://www.ratemyprofessors.com/professor/2614270
Jonathan Wright,Computer & Informational Tech.,5,1,100%,3,https://www.ratemyprofessors.com/professor/2651865
Stuti Kokkalera,Criminal Justice,4.5,2,100%,2.5,https://www.ratemyprofessors.com/professor/2424779
Sheila Springer,Communication Studies,1.6,12,8%,4.1,https://www.ratemyprofessors.com/professor/2282914
Liza Weinstein,Anthropology,5,3,100%,2,https://www.ratemyprofessors.com/professor/1893908
María Brucato,Spanish,4.4,41,67%,2.6,https://www.ratemyprofessors.com/professor/1525059
Radhika Dutt,Business Administration,5,1,100%,2,https://www.ratemyprofessors.com/professor/2647565
C. Randall Colvin,Psychology,4.2,20,100%,1.9,https://www.ratemyprofessors.com/professor/120987
Xiuye Chen,Computer & Informational Tech.,5,1,100%,4,https://www.ratemyprofessors.com/professor/2645487
Michelle McAllister,Accounting,4.3,16,88%,2.8,https://www.ratemyprofessors.com/professor/2299421
Moses Kim,Mathematics,1.3,6,0%,4.2,https://www.ratemyprofessors.com/professor/2403806
Dipen Sangurdekar,Computer Science,2,1,0%,5,https://www.ratemyprofessors.com/professor/2641851
Anahit Mkrtchyan,Finance,4.6,22,77%,3.5,https://www.ratemyprofessors.com/professor/1853972
Rizwanur Rob,Economics,3.7,3,67%,3,https://www.ratemyprofessors.com/professor/2581833
Kevin Drakulich,Criminal Justice,3.7,3,50%,3,https://www.ratemyprofessors.com/professor/2121403
Jerome Egan,Business,5,5,100%,4,https://www.ratemyprofessors.com/professor/2574738
Ming Wang,Civil Engineering,1,2,0%,4.5,https://www.ratemyprofessors.com/professor/2005385
Sunho Choi,Chemical Engineering,5,2,100%,3.5,https://www.ratemyprofessors.com/professor/2215498
Gwen Bindas,English,3.6,17,100%,2.8,https://www.ratemyprofessors.com/professor/207092
Festo Lugolobi,Environmental Science,4.2,3,100%,2,https://www.ratemyprofessors.com/professor/1613796
Adam Swanson,Economics,2,1,0%,5,https://www.ratemyprofessors.com/professor/2438413
Maria Robson,International Affairs,4,3,33%,3,https://www.ratemyprofessors.com/professor/2585434
Leonid Petrov,Mathematics,4.4,4,100%,2,https://www.ratemyprofessors.com/professor/1715943
LyNea Tomas,Computer & Informational Tech.,3.3,4,50%,4.8,https://www.ratemyprofessors.com/professor/2286447
Lori Ashline,Law,2.6,5,40%,4.2,https://www.ratemyprofessors.com/professor/2265114
John Halstead,Finance,3,3,67%,2.7,https://www.ratemyprofessors.com/professor/2329457
Thomas Koperniak,Regulatory Affairs,5,1,100%,3,https://www.ratemyprofessors.com/professor/2628029
Emily Barnard,Mathematics,3.8,5,80%,3,https://www.ratemyprofessors.com/professor/2280258
Catalina Almanza,Economics,2.3,8,25%,4,https://www.ratemyprofessors.com/professor/2246732
David Sands,Management,2.7,4,50%,3.2,https://www.ratemyprofessors.com/professor/2239062
Ronald Sandler,Philosophy,4.5,25,67%,3.5,https://www.ratemyprofessors.com/professor/403930
Laurie Edwards,English,4.5,4,100%,2,https://www.ratemyprofessors.com/professor/1157320
Jennifer Spadano-Gasbarro,Health Science,4.4,5,100%,3,https://www.ratemyprofessors.com/professor/2024871
Mary Griffin,Nursing,5,1,100%,3,https://www.ratemyprofessors.com/professor/2617866
Vivian Stamps,Nursing,3,1,100%,5,https://www.ratemyprofessors.com/professor/2617865
Elliot Sherman,Finance,3.8,73,47%,3.3,https://www.ratemyprofessors.com/professor/239329
Stephanie Leahy,Law,4,1,100%,3,https://www.ratemyprofessors.com/professor/2604460
John Hogan,Finance,1,1,0%,5,https://www.ratemyprofessors.com/professor/2425588
Daniel Ehrmann,Mathematics,5,4,100%,3,https://www.ratemyprofessors.com/professor/2539003
Gia Barboza,Criminal Justice,4.2,5,100%,3,https://www.ratemyprofessors.com/professor/1889651
Abhishek Kumar,Mechanical Engineering,3.4,12,75%,2.5,https://www.ratemyprofessors.com/professor/2230934
Hugh Courtney,Business,5,2,100%,3,https://www.ratemyprofessors.com/professor/2500829
Jeffrey Williams,Leadership,4.7,3,100%,3.3,https://www.ratemyprofessors.com/professor/2140910
Yi-Da Chen,Management,4.4,11,88%,2.5,https://www.ratemyprofessors.com/professor/2001755
Jan Vitek,Computer Science,3.7,5,50%,3.6,https://www.ratemyprofessors.com/professor/2008712
Or Aharon,Computer  Informational Tech.,5,1,100%,3,https://www.ratemyprofessors.com/professor/2271189
Paula Ryan,Marketing,4.2,26,50%,2,https://www.ratemyprofessors.com/professor/605111
James Rafferty,Business Administration,1.8,7,29%,3,https://www.ratemyprofessors.com/professor/2427849
Neal Young,Computer Science,1,1,0%,4,https://www.ratemyprofessors.com/professor/2607185
Keimei Sugiyama,Organizational Leadership,5,1,100%,4,https://www.ratemyprofessors.com/professor/2569058
Sriram Rajagopalan,Management,4.4,24,92%,3.9,https://www.ratemyprofessors.com/professor/2238964
Ranjini Ghosh,Health Science,4.8,4,100%,4,https://www.ratemyprofessors.com/professor/2380199
Loiza Miles,French,3.4,3,50%,3.3,https://www.ratemyprofessors.com/professor/2106421
John Weagraff,Philosophy,4.3,3,100%,3,https://www.ratemyprofessors.com/professor/2322199
Xumein Jin,Industrial Engineering,3,1,0%,2,https://www.ratemyprofessors.com/professor/2595226
Steve Kates,Regulatory Affairs,1,1,0%,4,https://www.ratemyprofessors.com/professor/2592928
David Kaeli,Electrical Engineering,3.2,15,67%,4.2,https://www.ratemyprofessors.com/professor/483225
Mehdi Behroozi,Industrial Engineering,4,4,75%,3,https://www.ratemyprofessors.com/professor/2249837
Alan Klein,Anthropology,3.4,90,67%,2.9,https://www.ratemyprofessors.com/professor/86089
Patricia Williams,Philosophy,5,1,100%,3,https://www.ratemyprofessors.com/professor/2588703
Oscar Leong,Mathematics,5,3,100%,3,https://www.ratemyprofessors.com/professor/2583508
Robert Powers,Business Administration,1.5,2,0%,4.5,https://www.ratemyprofessors.com/professor/2542838
Aeshna Badruzzaman,Political Science,4.5,4,100%,3,https://www.ratemyprofessors.com/professor/2573932
Amanda Crabb,Women,2.6,4,0%,2.2,https://www.ratemyprofessors.com/professor/1176317
Dylan Cashman,Computer Science,5,1,100%,3,https://www.ratemyprofessors.com/professor/2581848
Agata Rybakiewicz,Political Science,1,2,0%,3,https://www.ratemyprofessors.com/professor/2481690
Veronica Czastkiewicz,Political Science,2.8,11,50%,3.4,https://www.ratemyprofessors.com/professor/1490787
Donna Lubrano,Business,2.1,7,29%,4.1,https://www.ratemyprofessors.com/professor/2249485
Meredith Bittrich,Computer Science,1.5,2,0%,4.5,https://www.ratemyprofessors.com/professor/2546762
Adam Murfield,Architecture,4.7,7,67%,2.3,https://www.ratemyprofessors.com/professor/2050660
Donghee Jo,Economics,3.7,3,67%,3.3,https://www.ratemyprofessors.com/professor/2458148
Eigen Stanley,Mathematics,4.8,3,100%,2,https://www.ratemyprofessors.com/professor/1606109
Armand Gatien Wetie,Biochemistry,1,1,0%,4,https://www.ratemyprofessors.com/professor/2583035
Tunde Kovacs,Finance,3.7,14,60%,3.3,https://www.ratemyprofessors.com/professor/966074
Daniel Glasscock,Mathematics,3.3,8,50%,4.6,https://www.ratemyprofessors.com/professor/2281627
Miso Kim,Graphic Design,5,1,100%,3,https://www.ratemyprofessors.com/professor/2582436
Ziyi Zoey Zhao,Visual Arts,1,1,0%,1,https://www.ratemyprofessors.com/professor/2580312
Jerome Gates,Business Administration,5,1,100%,3,https://www.ratemyprofessors.com/professor/2563566
Mariano Gomez Luque,Architecture,5,1,100%,5,https://www.ratemyprofessors.com/professor/2577822
Ahmed Ezzat,Computer Science,1,1,0%,3,https://www.ratemyprofessors.com/professor/2567862
Lora Karaoglu Serce,Sociology,3,2,50%,3,https://www.ratemyprofessors.com/professor/2462322
George Adams,Mechanical Engineering,4.6,8,100%,3.6,https://www.ratemyprofessors.com/professor/165184
Joseph Manseau,Business,5,2,100%,3.5,https://www.ratemyprofessors.com/professor/2563876
Thomas Goulding,Computer & Informational Tech.,1,1,0%,3,https://www.ratemyprofessors.com/professor/2573394
Wael Altali,Managerial Science,5,2,100%,3.5,https://www.ratemyprofessors.com/professor/2503407
Mitch Franklin,Accounting,2.1,10,0%,4,https://www.ratemyprofessors.com/professor/1827769
Jennapher Lunde-Seefeldt,Political Science,5,3,100%,3.3,https://www.ratemyprofessors.com/professor/1993421
Sara Arunagiri,Computer Science,1,2,0%,3.5,https://www.ratemyprofessors.com/professor/2469631
Michael Handel,Sociology,3.1,4,100%,3.5,https://www.ratemyprofessors.com/professor/1645475
Kreg Segall,English,3.6,7,75%,3.4,https://www.ratemyprofessors.com/professor/1232139
Keith Smith,Marketing,5,5,100%,3.4,https://www.ratemyprofessors.com/professor/2283807
Thomas Gilbert,Chemistry,4,1,100%,3,https://www.ratemyprofessors.com/professor/2563736
Eric Stewart,Biology,4.3,19,89%,3.4,https://www.ratemyprofessors.com/professor/1825694
Carla Mattos,Chemistry,4,1,0%,3,https://www.ratemyprofessors.com/professor/2545222
Charles Daniel,Health Science,4,1,100%,3,https://www.ratemyprofessors.com/professor/2561746
Erica Gagne,Psychology,5,1,100%,2,https://www.ratemyprofessors.com/professor/2561598
Christopher Richardson,Biology,2.5,35,13%,4.5,https://www.ratemyprofessors.com/professor/1520889
Mohammed Anwaruddin,Computer & Informational Tech.,1,1,0%,5,https://www.ratemyprofessors.com/professor/2559100
Tom Gilbert,Chemistry,4,47,100%,3.1,https://www.ratemyprofessors.com/professor/155408
William Kirtz,Journalism,2,42,0%,3,https://www.ratemyprofessors.com/professor/297755
George Guay,Criminal Justice,2,6,0%,3.2,https://www.ratemyprofessors.com/professor/839378
Doug Wolf,History,3.3,7,0%,3.6,https://www.ratemyprofessors.com/professor/998758
Gail Begley,Biology,1.5,4,0%,4.3,https://www.ratemyprofessors.com/professor/1945818
Jennifer Nichol,Accounting,4.4,15,93%,3.5,https://www.ratemyprofessors.com/professor/2113379
Raman Chandrasekar,Computer Science,1,1,0%,1,https://www.ratemyprofessors.com/professor/2556661
Kent Millard,Graphic Design,3.7,3,67%,3,https://www.ratemyprofessors.com/professor/2354337
David Merry,Advisor,3.6,6,100%,1.5,https://www.ratemyprofessors.com/professor/1512360
Jayant Kale,Finance,3.3,4,75%,4,https://www.ratemyprofessors.com/professor/2193388
Jennifer Yule,Marketing,2.3,15,18%,3.5,https://www.ratemyprofessors.com/professor/1857168
Mary Hickey,Physical Therapy,5,1,100%,2,https://www.ratemyprofessors.com/professor/2550321
Polly Attwood,Education,3.6,16,0%,2.9,https://www.ratemyprofessors.com/professor/1427013
Ozlem Ergun,Industrial Engineering,5,3,100%,3,https://www.ratemyprofessors.com/professor/1936742
Neranga Fernando,Mathematics,4.5,43,83%,2.1,https://www.ratemyprofessors.com/professor/1841538
James Estabrook,Biology,5,2,100%,1,https://www.ratemyprofessors.com/professor/2011980
David Sprague,Computer Science,3.4,27,59%,3.7,https://www.ratemyprofessors.com/professor/2069010
Rudy Rodsphon,Mathematics,5,1,100%,3,https://www.ratemyprofessors.com/professor/2427554
Nada Sanders,Business Administration,4,2,100%,2.5,https://www.ratemyprofessors.com/professor/2133035
Mark Bresnihan,Advisor,5,7,100%,1.2,https://www.ratemyprofessors.com/professor/2298393
Andrea Wexler,Criminal Justice,5,2,100%,2.5,https://www.ratemyprofessors.com/professor/2485579
Frederick Crane,Business,3.9,14,33%,2.8,https://www.ratemyprofessors.com/professor/777849
Raza Syed,Mathematics,3.8,19,100%,2.4,https://www.ratemyprofessors.com/professor/201813
Swapnil Moon,Mechanical Engineering,3.8,15,67%,2.8,https://www.ratemyprofessors.com/professor/2061926
Yakov Bart,Marketing,2.3,3,33%,4.3,https://www.ratemyprofessors.com/professor/2169219
Karen Lauffer,Communication,4.3,20,75%,2.2,https://www.ratemyprofessors.com/professor/709898
Brad Hatfield,Music,4.7,7,67%,2.3,https://www.ratemyprofessors.com/professor/1414936
Steven Kapica,English,4.7,6,0%,2.2,https://www.ratemyprofessors.com/professor/1326092
Brendan Bannister,Business,4.2,22,60%,2.8,https://www.ratemyprofessors.com/professor/222778
Patricia Simpkins,English,4.5,10,100%,2.4,https://www.ratemyprofessors.com/professor/1375752
Christopher Chambers,Sociology,4,14,83%,2.4,https://www.ratemyprofessors.com/professor/1410585
Lisa Worsh,Advisor,4,1,100%,3,https://www.ratemyprofessors.com/professor/2461703
Robert Lieb,Business,3.5,13,100%,3.6,https://www.ratemyprofessors.com/professor/545909
